Trial,Participant,Run,Trial_Type,Value1,Value2,Side_First_Cue,Chose_to_reveal,Choice,NumMoves,Left,Rank1,Rank2,Correct,Value3,Value4,Rank3,Rank4,Values
1,1,1,Option,0.5,30,1,[ 2.],1,1,1,3,2,1,50,,0,,"[30.0, 50.0, 0.5, 0.1]"
2,1,1,Attribute,0.9,0.9,1,[ 3.],2,1,0,5,5,1,10,,-2,,"[0.9, 0.9, 10.0, 50.0]"
3,1,1,Option,70,0.1,1,[ 2.],1,1,1,4,1,1,0.1,,-2,,"[0.1, 0.1, 70.0, 50.0]"
4,1,1,Attribute,0.3,0.5,2,[],2,0,0,2,3,0,,,,,"[50.0, 10.0, 0.5, 0.3]"
5,1,1,Option,70,0.3,2,[],2,0,0,4,2,1,,,,,"[0.3, 0.3, 30.0, 70.0]"
6,1,1,Option,0.1,90,2,[ 1.  3.],1,2,1,1,5,1,70,0.5,1,0,"[70.0, 90.0, 0.5, 0.1]"
7,1,1,Attribute,90,10,1,[],1,0,1,5,1,1,,,,,"[0.1, 0.1, 90.0, 10.0]"
8,1,1,Option,0.9,50,1,[],1,0,1,5,3,0,,,,,"[50.0, 70.0, 0.9, 0.7]"
9,1,1,Option,10,0.7,2,[],1,0,1,1,4,1,,,,,"[50.0, 10.0, 0.5, 0.7]"
10,1,1,Attribute,10,30,1,[],2,0,0,1,2,1,,,,,"[0.5, 0.9, 10.0, 30.0]"
11,1,1,Option,0.1,10,1,[],2,0,0,1,1,1,,,,,"[10.0, 30.0, 0.1, 0.3]"
12,1,1,Option,0.3,30,1,[],2,0,0,2,2,1,,,,,"[0.3, 0.7, 30.0, 90.0]"
13,1,1,Option,0.7,90,2,[],2,0,0,4,5,1,,,,,"[0.7, 0.7, 10.0, 90.0]"
14,1,1,Option,90,0.9,2,[],2,0,0,5,5,1,,,,,"[30.0, 90.0, 0.3, 0.9]"
15,1,1,Attribute,0.5,0.3,2,[ 3.],2,1,0,3,2,1,10,,-2,,"[0.3, 0.5, 10.0, 30.0]"
16,1,1,Option,50,0.5,2,[ 1.],1,1,1,3,3,1,90,,2,,"[90.0, 50.0, 0.5, 0.5]"
18,1,1,Attribute,0.3,0.7,1,[],2,0,0,2,4,1,,,,,"[50.0, 30.0, 0.3, 0.7]"
19,1,1,Attribute,30,10,1,[],1,0,1,2,1,1,,,,,"[30.0, 10.0, 0.5, 0.3]"
20,1,1,Attribute,10,70,2,[],1,0,1,1,4,1,,,,,"[0.5, 0.1, 70.0, 10.0]"
21,1,1,Option,30,0.3,1,[],2,0,0,2,2,1,,,,,"[0.3, 0.7, 30.0, 70.0]"
22,1,1,Option,0.5,50,2,[ 1.],1,1,1,3,3,1,90,,2,,"[90.0, 50.0, 0.7, 0.5]"
23,1,1,Option,0.3,70,2,[],2,0,0,2,4,1,,,,,"[0.1, 0.3, 90.0, 70.0]"
24,1,1,Option,30,0.7,2,[ 1.  3.],2,2,0,2,4,1,0.5,30,0,-1,"[0.5, 0.7, 30.0, 30.0]"
25,1,1,Option,0.7,70,1,[],1,0,1,4,4,1,,,,,"[0.7, 0.5, 70.0, 10.0]"
26,1,1,Attribute,50,30,1,[ 2.],2,1,0,3,2,0,0.3,,-1,,"[0.9, 0.3, 50.0, 30.0]"
27,1,1,Attribute,90,50,2,[],2,0,0,5,3,1,,,,,"[0.5, 0.5, 50.0, 90.0]"
28,1,1,Attribute,0.5,0.1,1,[],1,0,1,3,1,1,,,,,"[0.5, 0.1, 70.0, 30.0]"
29,1,1,Attribute,50,90,2,[],1,0,1,3,5,0,,,,,"[0.1, 0.7, 90.0, 50.0]"
30,1,1,Option,50,0.5,1,[ 2.],1,1,1,3,3,1,10,,-2,,"[50.0, 10.0, 0.5, 0.7]"
31,1,1,Attribute,0.1,0.1,2,[],1,0,1,1,1,0,,,,,"[0.1, 0.1, 70.0, 90.0]"
32,1,1,Attribute,0.7,0.3,1,[],1,0,1,4,2,1,,,,,"[50.0, 10.0, 0.7, 0.3]"
33,1,1,Attribute,70,90,2,[ 3.],1,1,1,4,5,1,0.9,,2,,"[90.0, 70.0, 0.9, 0.3]"
34,1,1,Attribute,0.9,0.7,2,[ 3.],2,1,0,5,4,1,10,,-2,,"[0.7, 0.9, 10.0, 30.0]"
35,1,1,Attribute,0.1,0.9,1,[],2,0,0,1,5,1,,,,,"[0.1, 0.9, 70.0, 50.0]"
36,1,1,Option,0.9,10,2,[ 1.],1,1,1,5,1,1,50,,0,,"[50.0, 10.0, 0.5, 0.9]"
37,1,1,Attribute,70,70,1,[ 3.],1,1,1,4,4,1,0.9,,2,,"[70.0, 70.0, 0.9, 0.1]"
38,1,1,Option,10,0.1,1,[],2,0,0,1,1,1,,,,,"[10.0, 90.0, 0.1, 0.1]"
39,1,1,Attribute,0.7,0.5,2,[ 2.],2,1,0,4,3,1,90,,2,,"[30.0, 90.0, 0.5, 0.7]"
40,1,1,Option,90,0.9,1,[],1,0,1,5,5,1,,,,,"[90.0, 90.0, 0.9, 0.7]"
41,1,2,Attribute,50,30,2,[ 4.  3.],1,2,1,3,2,1,0.1,0.7,-2,1,"[30.0, 50.0, 0.7, 0.1]"
42,1,2,Attribute,70,70,2,[ 2.  1.],2,2,0,4,4,1,0.5,0.3,0,-1,"[0.3, 0.5, 70.0, 70.0]"
43,1,2,Option,0.9,50,2,[ 3.],1,1,1,5,3,0,90,,2,,"[0.3, 0.9, 90.0, 50.0]"
44,1,2,Option,0.5,30,2,[ 3.],1,1,1,3,2,1,90,,2,,"[0.5, 0.5, 90.0, 30.0]"
45,1,2,Attribute,0.3,0.7,2,[],1,0,1,2,4,0,,,,,"[0.7, 0.3, 10.0, 90.0]"
46,1,2,Attribute,0.7,0.7,1,[ 3.],2,1,0,4,4,1,30,,-1,,"[0.7, 0.7, 30.0, 90.0]"
47,1,2,Attribute,0.5,0.1,2,[],2,0,0,3,1,1,,,,,"[90.0, 50.0, 0.1, 0.5]"
48,1,2,Attribute,0.3,0.5,1,[ 4.],2,1,0,2,3,1,90,,2,,"[0.3, 0.5, 50.0, 90.0]"
49,1,2,Option,0.3,90,2,[ 3.  1.],1,2,1,2,5,1,0.7,90,1,2,"[90.0, 90.0, 0.7, 0.3]"
50,1,2,Option,70,0.3,1,[ 4.],2,1,0,4,2,1,0.7,,1,,"[70.0, 70.0, 0.3, 0.7]"
51,1,2,Option,90,0.7,2,[],2,0,0,5,4,1,,,,,"[0.5, 0.7, 10.0, 90.0]"
52,1,2,Option,90,0.1,1,[ 2.],2,1,0,5,1,1,0.9,,2,,"[0.1, 0.9, 90.0, 10.0]"
53,1,2,Option,0.1,50,1,[ 4.],2,1,0,1,3,1,70,,1,,"[0.1, 0.3, 50.0, 70.0]"
54,1,2,Attribute,30,70,2,[ 2.  1.],1,2,1,2,4,1,0.9,0.7,2,1,"[0.7, 0.9, 70.0, 30.0]"
55,1,2,Attribute,90,10,2,[],2,0,0,5,1,1,,,,,"[10.0, 90.0, 0.3, 0.5]"
56,1,2,Attribute,70,50,1,[ 1.  2.],1,2,1,4,3,1,0.5,0.1,0,-2,"[0.5, 0.1, 70.0, 50.0]"
57,1,2,Attribute,0.1,0.3,1,[],2,0,0,1,2,1,,,,,"[90.0, 50.0, 0.1, 0.3]"
58,1,2,Option,0.7,90,1,[],1,0,1,4,5,1,,,,,"[90.0, 10.0, 0.7, 0.5]"
59,1,2,Attribute,0.9,0.5,2,[],2,0,0,5,3,1,,,,,"[90.0, 70.0, 0.5, 0.9]"
60,1,2,Attribute,0.1,0.1,2,[ 1.  2.],1,2,1,1,1,1,90,50,2,0,"[90.0, 50.0, 0.1, 0.1]"
61,1,2,Option,0.7,10,2,[],2,0,0,4,1,1,,,,,"[10.0, 10.0, 0.5, 0.7]"
62,1,2,Option,0.9,70,1,[],1,0,1,5,4,1,,,,,"[0.9, 0.3, 70.0, 90.0]"
63,1,2,Option,30,0.1,1,[],2,0,0,2,1,1,,,,,"[30.0, 50.0, 0.1, 0.1]"
64,1,2,Option,10,0.9,2,[],1,0,1,1,5,1,,,,,"[0.5, 0.9, 30.0, 10.0]"
65,1,2,Attribute,0.5,0.9,1,[],2,0,0,3,5,1,,,,,"[50.0, 70.0, 0.5, 0.9]"
66,1,2,Attribute,10,10,2,[ 4.],2,1,0,1,1,1,0.7,,1,,"[10.0, 10.0, 0.3, 0.7]"
67,1,2,Option,10,0.9,1,[ 4.],2,1,0,1,5,1,70,,1,,"[0.9, 0.7, 10.0, 70.0]"
68,1,2,Attribute,0.9,0.9,1,[ 1.  2.],2,2,0,5,5,1,30,90,-1,2,"[30.0, 90.0, 0.9, 0.9]"
69,1,2,Option,50,0.5,2,[ 1.  3.],1,2,1,3,3,1,0.7,50,1,0,"[0.7, 0.5, 50.0, 50.0]"
70,1,2,Attribute,0.7,0.3,2,[],2,0,0,4,2,1,,,,,"[0.3, 0.7, 30.0, 30.0]"
71,1,2,Attribute,30,30,1,[ 1.],1,1,1,2,2,1,0.7,,1,,"[0.7, 0.3, 30.0, 30.0]"
72,1,2,Option,0.1,70,2,[ 3.],1,1,1,1,4,1,70,,1,,"[0.3, 0.1, 70.0, 70.0]"
73,1,2,Option,0.3,30,1,[],2,0,0,2,2,1,,,,,"[30.0, 70.0, 0.3, 0.9]"
74,1,2,Attribute,50,90,1,[],2,0,0,3,5,1,,,,,"[50.0, 90.0, 0.5, 0.3]"
75,1,2,Option,30,0.5,2,[ 1.  3.],2,2,0,2,3,1,30,0.3,-1,-1,"[30.0, 30.0, 0.3, 0.5]"
76,1,2,Attribute,90,50,1,[],1,0,1,5,3,0,,,,,"[90.0, 50.0, 0.3, 0.9]"
77,1,2,Attribute,10,90,1,[],1,0,1,1,5,0,,,,,"[10.0, 90.0, 0.3, 0.7]"
78,1,2,Option,0.5,10,1,[],2,0,0,3,1,1,,,,,"[0.5, 0.5, 10.0, 50.0]"
79,1,2,Option,70,0.7,2,[],2,0,0,4,4,1,,,,,"[50.0, 70.0, 0.9, 0.7]"
80,1,2,Option,50,0.3,1,[],2,0,0,3,2,1,,,,,"[0.3, 0.7, 50.0, 50.0]"
81,1,3,Option,30,0.5,1,[ 4.],1,1,1,2,3,1,10,,-2,,"[0.5, 0.5, 30.0, 10.0]"
82,1,3,Attribute,0.9,0.9,1,[ 3.  4.],2,2,0,5,5,1,30,90,-1,2,"[0.9, 0.9, 30.0, 90.0]"
83,1,3,Option,10,0.9,2,[ 3.],1,1,1,1,5,1,0.9,,2,,"[90.0, 10.0, 0.9, 0.9]"
84,1,3,Option,90,0.9,2,[],2,0,0,5,5,1,,,,,"[50.0, 90.0, 0.1, 0.9]"
85,1,3,Attribute,0.7,0.1,2,[],2,0,0,4,1,1,,,,,"[90.0, 30.0, 0.1, 0.7]"
86,1,3,Attribute,70,90,2,[ 3.  4.],1,2,1,4,5,1,0.3,0.3,-1,-1,"[90.0, 70.0, 0.3, 0.3]"
87,1,3,Attribute,50,70,2,[],1,0,1,3,4,1,,,,,"[0.5, 0.7, 70.0, 50.0]"
88,1,3,Option,0.5,50,1,[ 4.  2.],2,2,0,3,3,1,0.5,90,0,2,"[50.0, 90.0, 0.5, 0.5]"
89,1,3,Option,10,0.5,1,[],2,0,0,1,3,1,,,,,"[10.0, 90.0, 0.5, 0.9]"
90,1,3,Option,0.3,90,1,[ 2.],1,1,1,2,5,1,0.1,,-2,,"[0.3, 0.1, 90.0, 90.0]"
91,1,3,Attribute,70,10,1,[],1,0,1,4,1,1,,,,,"[70.0, 10.0, 0.5, 0.5]"
92,1,3,Option,0.7,30,1,[ 2.],2,1,0,4,2,1,0.9,,2,,"[0.7, 0.9, 30.0, 50.0]"
93,1,3,Option,70,0.7,1,[],1,0,1,4,4,1,,,,,"[0.7, 0.3, 70.0, 30.0]"
94,1,3,Attribute,0.5,0.5,1,[ 4.  3.],2,2,0,3,3,1,50,30,0,-1,"[0.5, 0.5, 30.0, 50.0]"
95,1,3,Option,0.3,10,2,[],1,0,1,2,1,1,,,,,"[0.1, 0.3, 90.0, 10.0]"
96,1,3,Option,0.1,70,1,[],2,0,0,1,4,0,,,,,"[70.0, 30.0, 0.1, 0.1]"
97,1,3,Option,50,0.1,2,[],1,0,1,3,1,0,,,,,"[10.0, 50.0, 0.3, 0.1]"
98,1,3,Attribute,50,30,1,[ 1.],2,1,0,3,2,1,0.5,,0,,"[0.5, 0.9, 50.0, 30.0]"
99,1,3,Attribute,0.1,0.5,2,[],1,0,1,1,3,1,,,,,"[0.5, 0.1, 70.0, 30.0]"
100,1,3,Attribute,10,10,2,[ 1.],1,1,1,1,1,1,0.9,,2,,"[0.9, 0.5, 10.0, 10.0]"
101,1,3,Option,30,0.1,2,[],1,0,1,2,1,1,,,,,"[0.3, 0.1, 90.0, 30.0]"
102,1,3,Attribute,0.9,0.3,2,[],2,0,0,5,2,1,,,,,"[0.3, 0.9, 30.0, 10.0]"
103,1,3,Option,0.1,90,2,[ 3.],2,1,0,1,5,1,0.1,,-2,,"[70.0, 90.0, 0.1, 0.1]"
104,1,3,Attribute,0.7,0.7,1,[ 1.  2.],2,2,0,4,4,1,50,90,0,2,"[50.0, 90.0, 0.7, 0.7]"
105,1,3,Attribute,0.1,0.7,1,[],2,0,0,1,4,1,,,,,"[0.1, 0.7, 30.0, 10.0]"
106,1,3,Attribute,10,90,1,[],2,0,0,1,5,1,,,,,"[0.3, 0.3, 10.0, 90.0]"
107,1,3,Attribute,90,50,2,[],2,0,0,5,3,1,,,,,"[0.5, 0.3, 50.0, 90.0]"
108,1,3,Option,0.9,50,1,[ 4.],1,1,1,5,3,1,0.5,,0,,"[50.0, 70.0, 0.9, 0.5]"
109,1,3,Option,90,0.7,1,[],1,0,1,5,4,1,,,,,"[90.0, 10.0, 0.7, 0.7]"
110,1,3,Attribute,0.3,0.3,2,[ 2.],2,1,0,2,2,1,90,,2,,"[50.0, 90.0, 0.3, 0.3]"
111,1,3,Option,0.5,10,2,[],1,0,1,3,1,1,,,,,"[50.0, 10.0, 0.5, 0.5]"
112,1,3,Attribute,0.5,0.1,2,[],2,0,0,3,1,0,,,,,"[0.1, 0.5, 70.0, 10.0]"
113,1,3,Attribute,30,70,1,[],2,0,0,2,4,0,,,,,"[30.0, 70.0, 0.3, 0.1]"
114,1,3,Option,50,0.3,1,[ 4.],2,1,0,3,2,1,0.5,,0,,"[50.0, 90.0, 0.3, 0.5]"
115,1,3,Attribute,30,30,2,[ 3.  4.],1,2,1,2,2,1,0.7,0.3,1,-1,"[30.0, 30.0, 0.7, 0.3]"
116,1,3,Option,0.9,30,2,[ 3.],2,1,0,5,2,1,0.1,,-2,,"[30.0, 30.0, 0.1, 0.9]"
117,1,3,Attribute,0.3,0.9,1,[],2,0,0,2,5,1,,,,,"[50.0, 50.0, 0.3, 0.9]"
118,1,3,Option,70,0.3,2,[ 1.  3.],2,2,0,4,2,1,0.3,10,-1,-2,"[0.3, 0.3, 10.0, 70.0]"
119,1,3,Attribute,90,50,1,[ 1.],1,1,1,5,3,1,0.9,,2,,"[0.9, 0.7, 90.0, 50.0]"
120,1,3,Option,0.7,70,2,[],2,0,0,4,4,1,,,,,"[0.3, 0.7, 90.0, 70.0]"
121,1,4,Option,0.3,10,2,[],1,0,1,2,1,1,,,,,"[10.0, 10.0, 0.7, 0.3]"
122,1,4,Attribute,30,70,1,[],2,0,0,2,4,0,,,,,"[0.9, 0.3, 30.0, 70.0]"
123,1,4,Attribute,10,70,1,[],2,0,0,1,4,1,,,,,"[10.0, 70.0, 0.7, 0.3]"
124,1,4,Option,90,0.5,1,[ 4.],1,1,1,5,3,1,10,,-2,,"[0.5, 0.5, 90.0, 10.0]"
125,1,4,Option,50,0.5,1,[ 4.  2.],1,2,1,3,3,1,70,0.3,1,-1,"[0.5, 0.3, 50.0, 70.0]"
126,1,4,Attribute,0.9,0.3,1,[],1,0,1,5,2,1,,,,,"[90.0, 50.0, 0.9, 0.3]"
127,1,4,Option,0.1,10,2,[],1,0,1,1,1,1,,,,,"[0.1, 0.1, 30.0, 10.0]"
128,1,4,Attribute,0.3,0.7,2,[],1,0,1,2,4,1,,,,,"[0.7, 0.3, 70.0, 90.0]"
129,1,4,Option,90,0.1,2,[ 1.],1,1,1,5,1,1,0.3,,-1,,"[0.3, 0.1, 50.0, 90.0]"
130,1,4,Attribute,0.7,0.5,1,[],1,0,1,4,3,0,,,,,"[0.7, 0.5, 30.0, 70.0]"
131,1,4,Option,0.9,90,2,[],2,0,0,5,5,1,,,,,"[0.7, 0.9, 90.0, 90.0]"
132,1,4,Option,10,0.9,2,[ 1.],2,1,0,1,5,0,0.3,,-1,,"[0.3, 0.9, 90.0, 10.0]"
133,1,4,Option,0.5,50,2,[ 3.],2,1,0,3,3,1,10,,-2,,"[0.3, 0.5, 10.0, 50.0]"
134,1,4,Attribute,70,50,1,[],1,0,1,4,3,1,,,,,"[0.7, 0.9, 70.0, 50.0]"
135,1,4,Attribute,10,90,2,[],1,0,1,1,5,1,,,,,"[90.0, 10.0, 0.3, 0.1]"
136,1,4,Option,30,0.7,2,[ 3.],1,1,1,2,4,1,0.5,,0,,"[90.0, 30.0, 0.5, 0.7]"
137,1,4,Attribute,0.1,0.9,2,[],1,0,1,1,5,1,,,,,"[30.0, 10.0, 0.9, 0.1]"
138,1,4,Option,0.3,30,1,[],2,0,0,2,2,0,,,,,"[30.0, 50.0, 0.3, 0.1]"
139,1,4,Attribute,50,50,2,[ 3.],2,1,0,3,3,1,0.1,,-2,,"[50.0, 50.0, 0.1, 0.9]"
140,1,4,Attribute,0.9,0.7,2,[ 2.  1.],2,2,0,5,4,1,50,30,0,-1,"[30.0, 50.0, 0.7, 0.9]"
141,1,4,Attribute,0.3,0.5,1,[],2,0,0,2,3,1,,,,,"[0.3, 0.5, 10.0, 50.0]"
142,1,4,Option,50,0.9,2,[ 3.],2,1,0,3,5,1,30,,-1,,"[0.3, 0.9, 30.0, 50.0]"
143,1,4,Attribute,90,30,2,[],2,0,0,5,2,1,,,,,"[30.0, 90.0, 0.9, 0.7]"
144,1,4,Option,0.1,70,1,[],2,0,0,1,4,0,,,,,"[0.1, 0.5, 70.0, 10.0]"
145,1,4,Option,0.7,30,1,[ 4.  2.],2,2,0,4,2,1,0.7,50,1,0,"[30.0, 50.0, 0.7, 0.7]"
146,1,4,Option,70,0.3,1,[ 4.  2.],1,2,1,4,2,1,0.5,10,0,-2,"[70.0, 10.0, 0.3, 0.5]"
147,1,4,Attribute,0.5,0.9,1,[],2,0,0,3,5,1,,,,,"[30.0, 70.0, 0.5, 0.9]"
148,1,4,Option,10,0.1,1,[],2,0,0,1,1,1,,,,,"[0.1, 0.9, 10.0, 70.0]"
149,1,4,Attribute,70,10,2,[],2,0,0,4,1,1,,,,,"[0.5, 0.5, 10.0, 70.0]"
150,1,4,Attribute,0.7,0.3,2,[],2,0,0,4,2,1,,,,,"[0.3, 0.7, 70.0, 70.0]"
151,1,4,Option,0.9,50,1,[ 2.],1,1,1,5,3,1,0.5,,0,,"[0.9, 0.5, 50.0, 50.0]"
152,1,4,Attribute,30,90,2,[ 1.  2.],2,2,0,2,5,0,0.3,0.7,-1,1,"[0.3, 0.7, 90.0, 30.0]"
153,1,4,Attribute,90,30,1,[],1,0,1,5,2,1,,,,,"[90.0, 30.0, 0.9, 0.1]"
154,1,4,Attribute,50,10,1,[],1,0,1,3,1,0,,,,,"[50.0, 10.0, 0.1, 0.7]"
155,1,4,Attribute,0.1,0.1,1,[],2,0,0,1,1,1,,,,,"[10.0, 30.0, 0.1, 0.1]"
156,1,4,Option,0.7,70,2,[],2,0,0,4,4,1,,,,,"[30.0, 70.0, 0.5, 0.7]"
157,1,4,Option,0.5,90,1,[ 4.],1,1,1,3,5,1,30,,-1,,"[0.5, 0.1, 90.0, 30.0]"
158,1,4,Option,30,0.7,1,[ 4.  2.],1,2,1,2,4,0,0.7,50,1,0,"[30.0, 50.0, 0.7, 0.7]"
159,1,4,Option,70,0.3,2,[ 3.],1,1,1,4,2,1,0.9,,2,,"[90.0, 70.0, 0.9, 0.3]"
160,1,4,Attribute,0.5,0.1,2,[],2,0,0,3,1,1,,,,,"[70.0, 90.0, 0.1, 0.5]"
161,1,5,Option,0.9,70,1,[],1,0,1,5,4,1,,,,,"[70.0, 50.0, 0.9, 0.7]"
162,1,5,Attribute,0.5,0.3,2,[],2,0,0,3,2,0,,,,,"[0.3, 0.5, 90.0, 30.0]"
163,1,5,Attribute,0.3,0.5,2,[],1,0,1,2,3,1,,,,,"[70.0, 10.0, 0.5, 0.3]"
164,1,5,Option,0.3,90,1,[ 2.],2,1,0,2,5,0,0.7,,1,,"[0.3, 0.7, 90.0, 30.0]"
165,1,5,Option,0.1,90,2,[],1,0,1,1,5,1,,,,,"[70.0, 90.0, 0.5, 0.1]"
166,1,5,Attribute,0.1,0.9,2,[],1,0,1,1,5,1,,,,,"[0.9, 0.1, 90.0, 90.0]"
167,1,5,Attribute,0.7,0.3,1,[],1,0,1,4,2,1,,,,,"[10.0, 10.0, 0.7, 0.3]"
168,1,5,Option,0.9,70,2,[],2,0,0,5,4,1,,,,,"[50.0, 70.0, 0.9, 0.9]"
169,1,5,Option,10,0.9,1,[ 4.],1,1,1,1,5,1,0.1,,-2,,"[10.0, 50.0, 0.9, 0.1]"
170,1,5,Attribute,50,90,1,[],2,0,0,3,5,1,,,,,"[0.9, 0.7, 50.0, 90.0]"
171,1,5,Option,0.5,50,2,[ 3.],2,1,0,3,3,1,0.1,,-2,,"[30.0, 50.0, 0.1, 0.5]"
172,1,5,Attribute,90,10,1,[],1,0,1,5,1,1,,,,,"[0.7, 0.5, 90.0, 10.0]"
173,1,5,Attribute,70,70,2,[ 3.  4.],2,2,0,4,4,1,0.3,0.5,-1,0,"[70.0, 70.0, 0.3, 0.5]"
174,1,5,Attribute,0.5,0.7,1,[],2,0,0,3,4,1,,,,,"[0.5, 0.7, 10.0, 30.0]"
175,1,5,Attribute,0.9,0.1,2,[],2,0,0,5,1,1,,,,,"[0.1, 0.9, 30.0, 30.0]"
176,1,5,Attribute,0.1,0.7,1,[],2,0,0,1,4,1,,,,,"[0.1, 0.7, 70.0, 30.0]"
177,1,5,Option,50,0.3,1,[ 4.],1,1,1,3,2,1,0.1,,-2,,"[50.0, 10.0, 0.3, 0.1]"
178,1,5,Attribute,0.3,0.1,1,[],1,0,1,2,1,0,,,,,"[10.0, 70.0, 0.3, 0.1]"
179,1,5,Attribute,0.9,0.9,1,[ 3.],1,1,1,5,5,1,90,,2,,"[0.9, 0.9, 90.0, 30.0]"
180,1,5,Option,30,0.7,2,[ 1.],1,1,1,2,4,1,0.9,,2,,"[0.9, 0.7, 50.0, 30.0]"
181,1,5,Option,90,0.9,2,[],2,0,0,5,5,1,,,,,"[50.0, 90.0, 0.3, 0.9]"
182,1,5,Attribute,30,70,1,[ 4.],2,1,0,2,4,1,0.9,,2,,"[30.0, 70.0, 0.3, 0.9]"
183,1,5,Attribute,0.7,0.5,2,[ 2.  1.],2,2,0,4,3,1,50,10,0,-2,"[10.0, 50.0, 0.5, 0.7]"
184,1,5,Attribute,10,10,1,[],2,0,0,1,1,0,,,,,"[0.5, 0.3, 10.0, 10.0]"
185,1,5,Attribute,90,90,2,[ 1.],2,1,0,5,5,1,0.1,,-2,,"[0.1, 0.9, 90.0, 90.0]"
186,1,5,Option,0.3,50,2,[ 1.],2,1,0,2,3,1,0.3,,-1,,"[0.3, 0.3, 30.0, 50.0]"
187,1,5,Attribute,50,30,2,[ 1.],2,1,0,3,2,1,0.5,,0,,"[0.5, 0.3, 30.0, 50.0]"
188,1,5,Option,30,0.1,1,[],2,0,0,2,1,1,,,,,"[0.1, 0.7, 30.0, 50.0]"
189,1,5,Option,70,0.7,2,[],2,0,0,4,4,1,,,,,"[0.3, 0.7, 50.0, 70.0]"
190,1,5,Option,70,0.3,1,[ 2.  4.],1,2,1,4,2,1,0.5,30,0,-1,"[0.3, 0.5, 70.0, 30.0]"
191,1,5,Option,10,0.1,2,[],1,0,1,1,1,1,,,,,"[90.0, 10.0, 0.1, 0.1]"
192,1,5,Attribute,10,50,2,[],1,0,1,1,3,1,,,,,"[0.9, 0.9, 50.0, 10.0]"
193,1,5,Option,0.1,30,1,[],2,0,0,1,2,1,,,,,"[30.0, 50.0, 0.1, 0.5]"
194,1,5,Option,0.5,10,1,[ 4.],2,1,0,3,1,1,0.5,,0,,"[10.0, 30.0, 0.5, 0.5]"
195,1,5,Option,0.7,30,1,[ 4.],2,1,0,4,2,1,50,,0,,"[0.7, 0.7, 30.0, 50.0]"
196,1,5,Attribute,30,50,2,[ 3.  4.],2,2,0,2,3,1,0.3,0.7,-1,1,"[50.0, 30.0, 0.3, 0.7]"
197,1,5,Option,90,0.5,1,[],1,0,1,5,3,1,,,,,"[90.0, 30.0, 0.5, 0.5]"
198,1,5,Option,0.7,10,2,[],1,0,1,4,1,1,,,,,"[0.3, 0.7, 70.0, 10.0]"
199,1,5,Attribute,70,30,1,[],1,0,1,4,2,1,,,,,"[70.0, 30.0, 0.7, 0.5]"
200,1,5,Option,50,0.5,2,[ 3.],2,1,0,3,3,1,0.1,,-2,,"[90.0, 50.0, 0.1, 0.5]"
1,2,1,Attribute,0.9,0.3,2,[],2,0,0,5,2,0,,,,,"[0.3, 0.9, 70.0, 10.0]"
2,2,1,Attribute,30,10,1,[ 3.],1,1,1,2,1,1,0.9,,2,,"[30.0, 10.0, 0.9, 0.1]"
3,2,1,Option,0.7,30,2,[],2,0,0,4,2,1,,,,,"[0.1, 0.7, 10.0, 30.0]"
4,2,1,Option,30,0.7,2,[],2,0,0,2,4,0,,,,,"[0.5, 0.7, 50.0, 30.0]"
5,2,1,Option,0.9,90,1,[],1,0,1,5,5,1,,,,,"[90.0, 70.0, 0.9, 0.1]"
6,2,1,Option,0.5,50,1,[],1,0,1,3,3,1,,,,,"[50.0, 50.0, 0.5, 0.1]"
7,2,1,Attribute,0.7,0.7,1,[ 2.],2,1,0,4,4,1,90,,2,,"[70.0, 90.0, 0.7, 0.7]"
8,2,1,Option,70,0.5,2,[],2,0,0,4,3,1,,,,,"[0.7, 0.5, 10.0, 70.0]"
9,2,1,Option,50,0.3,1,[ 2.],2,1,0,3,2,1,70,,1,,"[50.0, 70.0, 0.3, 0.7]"
10,2,1,Option,0.3,90,2,[],2,0,0,2,5,1,,,,,"[0.5, 0.3, 50.0, 90.0]"
11,2,1,Attribute,0.1,0.5,2,[ 3.],1,1,1,1,3,1,50,,0,,"[0.5, 0.1, 50.0, 90.0]"
12,2,1,Attribute,70,30,2,[],2,0,0,4,2,1,,,,,"[30.0, 70.0, 0.7, 0.7]"
13,2,1,Option,0.5,70,2,[],2,0,0,3,4,1,,,,,"[50.0, 70.0, 0.7, 0.5]"
14,2,1,Option,90,0.7,1,[],1,0,1,5,4,1,,,,,"[90.0, 90.0, 0.7, 0.5]"
15,2,1,Option,30,0.1,1,[],2,0,0,2,1,1,,,,,"[0.1, 0.7, 30.0, 30.0]"
16,2,1,Attribute,0.3,0.9,2,[],1,0,1,2,5,1,,,,,"[10.0, 10.0, 0.9, 0.3]"
17,2,1,Attribute,0.9,0.3,1,[],1,0,1,5,2,0,,,,,"[0.9, 0.3, 10.0, 90.0]"
18,2,1,Option,10,0.9,1,[],1,0,1,1,5,0,,,,,"[10.0, 50.0, 0.9, 0.5]"
19,2,1,Attribute,10,50,1,[ 2.],2,1,0,1,3,1,0.9,,2,,"[0.1, 0.9, 10.0, 50.0]"
20,2,1,Attribute,0.3,0.5,1,[],2,0,0,2,3,0,,,,,"[90.0, 10.0, 0.3, 0.5]"
21,2,1,Attribute,50,70,2,[ 1.],1,1,1,3,4,1,0.9,,2,,"[0.9, 0.7, 70.0, 50.0]"
