Trial,Participant,Run,Trial_Type,Value1,Value2,Side_First_Cue,Chose_to_reveal,Choice,NumMoves,Left,Rank1,Rank2,Correct,Value3,Value4,Rank3,Rank4,Values
82,25,3,Attribute,0.1,0.9,2,[],1,0,1,1,5,1,,,,,"[0.9, 0.1, 50.0, 50.0]"
83,25,3,Option,50,0.1,2,[],1,0,1,3,1,1,,,,,"[50.0, 50.0, 0.9, 0.1]"
84,25,3,Attribute,0.1,0.5,1,[],2,0,0,1,3,1,,,,,"[0.1, 0.5, 70.0, 70.0]"
85,25,3,Attribute,0.7,0.7,2,[ 2.  1.],2,2,0,4,4,1,30,10,-1,-2,"[10.0, 30.0, 0.7, 0.7]"
86,25,3,Option,70,0.3,1,[ 2.],1,1,1,4,2,1,0.1,,-2,,"[0.3, 0.1, 70.0, 90.0]"
87,25,3,Attribute,10,70,2,[],1,0,1,1,4,1,,,,,"[0.3, 0.1, 70.0, 10.0]"
88,25,3,Option,90,0.3,2,[ 1.],2,1,0,5,2,1,30,,-1,,"[30.0, 90.0, 0.9, 0.3]"
89,25,3,Option,0.3,10,2,[],1,0,1,2,1,1,,,,,"[0.5, 0.3, 90.0, 10.0]"
90,25,3,Attribute,50,90,2,[],1,0,1,3,5,0,,,,,"[0.1, 0.7, 90.0, 50.0]"
91,25,3,Option,0.1,10,2,[],1,0,1,1,1,1,,,,,"[50.0, 10.0, 0.3, 0.1]"
92,25,3,Attribute,0.3,0.7,1,[],2,0,0,2,4,1,,,,,"[90.0, 70.0, 0.3, 0.7]"
93,25,3,Option,0.7,30,2,[ 3.  1.],1,2,1,4,2,1,50,0.5,0,0,"[0.5, 0.7, 50.0, 30.0]"
94,25,3,Option,30,0.9,2,[ 1.],1,1,1,2,5,0,0.7,,1,,"[0.7, 0.9, 30.0, 30.0]"
95,25,3,Option,10,0.5,1,[],2,0,0,1,3,1,,,,,"[10.0, 50.0, 0.5, 0.7]"
96,25,3,Attribute,50,30,1,[],1,0,1,3,2,0,,,,,"[0.1, 0.3, 50.0, 30.0]"
97,25,3,Option,30,0.1,1,[],2,0,0,2,1,1,,,,,"[0.1, 0.9, 30.0, 70.0]"
98,25,3,Option,0.1,30,1,[],2,0,0,1,2,1,,,,,"[30.0, 90.0, 0.1, 0.7]"
99,25,3,Attribute,0.9,0.5,1,[],1,0,1,5,3,0,,,,,"[0.9, 0.5, 10.0, 30.0]"
100,25,3,Attribute,70,70,1,[ 3.],2,1,0,4,4,1,0.1,,-2,,"[70.0, 70.0, 0.1, 0.9]"
101,25,3,Option,0.9,50,1,[],1,0,1,5,3,1,,,,,"[50.0, 30.0, 0.9, 0.9]"
102,25,3,Option,70,0.7,2,[],2,0,0,4,4,1,,,,,"[0.3, 0.7, 50.0, 70.0]"
103,25,3,Option,10,0.7,2,[ 1.],1,1,1,1,4,1,90,,2,,"[90.0, 10.0, 0.5, 0.7]"
104,25,3,Option,0.7,70,1,[],1,0,1,4,4,1,,,,,"[0.7, 0.5, 70.0, 10.0]"
105,25,3,Attribute,10,10,1,[],2,0,0,1,1,0,,,,,"[0.9, 0.1, 10.0, 10.0]"
106,25,3,Attribute,0.9,0.3,2,[],2,0,0,5,2,1,,,,,"[0.3, 0.9, 30.0, 70.0]"
107,25,3,Option,0.5,70,1,[],1,0,1,3,4,1,,,,,"[70.0, 30.0, 0.5, 0.7]"
108,25,3,Option,0.3,90,1,[],2,0,0,2,5,0,,,,,"[0.3, 0.9, 90.0, 10.0]"
109,25,3,Attribute,0.7,0.1,1,[],1,0,1,4,1,1,,,,,"[90.0, 70.0, 0.7, 0.1]"
110,25,3,Option,90,0.5,1,[],1,0,1,5,3,1,,,,,"[90.0, 10.0, 0.5, 0.5]"
111,25,3,Attribute,30,30,2,[ 4.  3.],2,2,0,2,2,1,0.5,0.1,0,-2,"[30.0, 30.0, 0.1, 0.5]"
112,25,3,Option,0.5,50,2,[ 1.  3.],2,2,0,3,3,1,30,0.3,-1,-1,"[30.0, 50.0, 0.3, 0.5]"
113,25,3,Option,0.9,90,2,[],2,0,0,5,5,1,,,,,"[30.0, 90.0, 0.5, 0.9]"
114,25,3,Attribute,30,10,1,[ 4.  3.],2,2,0,2,1,0,0.5,0.5,0,0,"[30.0, 10.0, 0.5, 0.5]"
115,25,3,Attribute,90,50,2,[],2,0,0,5,3,1,,,,,"[0.3, 0.9, 50.0, 90.0]"
116,25,3,Attribute,90,90,1,[ 2.],2,1,0,5,5,1,0.7,,1,,"[0.3, 0.7, 90.0, 90.0]"
117,25,3,Attribute,0.5,0.1,2,[],2,0,0,3,1,1,,,,,"[0.1, 0.5, 30.0, 90.0]"
118,25,3,Attribute,0.3,0.3,2,[ 2.],2,1,0,2,2,0,70,,1,,"[90.0, 70.0, 0.3, 0.3]"
119,25,3,Attribute,70,50,2,[],2,0,0,4,3,1,,,,,"[50.0, 70.0, 0.9, 0.9]"
120,25,3,Attribute,0.5,0.9,1,[],2,0,0,3,5,1,,,,,"[0.5, 0.9, 90.0, 50.0]"
121,25,4,Attribute,90,70,2,[ 4.  3.],1,2,1,5,4,1,0.5,0.9,0,2,"[70.0, 90.0, 0.9, 0.5]"
122,25,4,Option,0.3,70,2,[ 1.  3.],2,2,0,2,4,1,50,0.1,0,-2,"[50.0, 70.0, 0.1, 0.3]"
123,25,4,Attribute,0.1,0.3,2,[],1,0,1,1,2,1,,,,,"[50.0, 10.0, 0.3, 0.1]"
124,25,4,Attribute,10,10,1,[],2,0,0,1,1,0,,,,,"[10.0, 10.0, 0.7, 0.1]"
125,25,4,Option,90,0.5,1,[],1,0,1,5,3,0,,,,,"[0.5, 0.9, 90.0, 70.0]"
126,25,4,Attribute,0.1,0.7,1,[],2,0,0,1,4,1,,,,,"[10.0, 50.0, 0.1, 0.7]"
127,25,4,Option,90,0.9,2,[],2,0,0,5,5,1,,,,,"[0.5, 0.9, 10.0, 90.0]"
128,25,4,Attribute,10,30,2,[],1,0,1,1,2,1,,,,,"[30.0, 10.0, 0.9, 0.1]"
129,25,4,Attribute,70,90,1,[ 2.],1,1,1,4,5,1,0.1,,-2,,"[0.5, 0.1, 70.0, 90.0]"
130,25,4,Attribute,0.7,0.5,1,[ 3.],1,1,1,4,3,1,90,,2,,"[0.7, 0.5, 90.0, 70.0]"
